        2       1      27       6       1       2
                                                                                 
 aoints SIFS file created by argos.      colosse3          08:39:35.718 03-Nov-17
       27
     a
        2    4096    3272    4096    2700       0
     1O__1s    2O__1s    3O__1s    4O__2p    5O__2p    6O__2p    7O__2p    8O__2p
     9O__2p   10C__1s   11C__1s   12C__1s   13C__2p   14C__2p   15C__2p   16C__2p
    17C__2p   18C__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   5.705770285162E+01
        3       4
    1   1   1   1   1   1   1   1   1   2   2   2   2   2   2   2   2   2   3   3
    3   3   3   3   3   3   3   1   1   1   2   2   2   2   2   2   1   1   1   2
    2   2   2   2   2   1   1   1   2   2   2   2   2   2
     143    145      0      0      0      0      1      2
   0.000000000000E+00
   1.000000000000E+00   1   1
   2.336899060592E-01   2   1
   1.000000000000E+00   2   2
   1.672797595959E-01   3   1
   7.636407733384E-01   3   2
   1.000000000000E+00   3   3
   1.000000000000E+00   4   4
   1.000000000000E+00   5   5
   1.000000000000E+00   6   6
   5.015206410748E-01   7   4
   5.015206410748E-01   8   5
   5.015206410748E-01   9   6
   1.000000000000E+00   7   7
   1.000000000000E+00   8   8
   1.000000000000E+00   9   9
   4.242344512361E-06  10   1
   9.716972636166E-03  10   2
   7.039323929593E-02  10   3
   2.281217730758E-02  10   4
   1.549314697223E-01  10   7
   2.354891710247E-02  11   1
   1.850617385762E-01  11   2
   3.879517372613E-01  11   3
   2.148152024455E-01  11   4
   5.870557967027E-01  11   7
   5.206372932764E-02  12   1
   2.974830555329E-01  12   2
   5.691363258520E-01  12   3
   1.482584849380E-01  12   4
   5.102617987133E-01  12   7
  -4.809603297274E-02  13   1
  -2.899850732128E-01  13   2
  -3.428030953823E-01  13   3
  -2.870508605333E-01  13   4
   9.772853314634E-02  14   5
   9.772853314634E-02  15   6
  -2.605658414993E-01  13   7
   2.940779764923E-01  14   8
   2.940779764923E-01  15   9
  -9.403823547942E-02  16   1
  -4.657648512521E-01  16   2
  -6.455108202137E-01  16   3
  -7.623890846281E-02  16   4
   1.608969438997E-01  17   5
   1.608969438997E-01  18   6
  -2.497607238904E-02  16   7
   5.537596316061E-01  17   8
   5.537596316061E-01  18   9
   1.000000000000E+00  10  10
   2.190588715645E-01  11  10
   1.000000000000E+00  11  11
   1.842610531091E-01  12  10
   8.122730676220E-01  12  11
   1.000000000000E+00  12  12
   1.000000000000E+00  13  13
   1.000000000000E+00  14  14
   1.000000000000E+00  15  15
   5.697540584657E-01  16  13
   5.697540584657E-01  17  14
   5.697540584657E-01  18  15
   1.000000000000E+00  16  16
   1.000000000000E+00  17  17
   1.000000000000E+00  18  18
   7.763662610646E-09  19   2
   8.668016120377E-04  19   3
   3.884770432217E-08  19   4
   3.910662906586E-03  19   7
   7.763662610646E-09  20   1
   4.732109255585E-05  20   2
   1.096647455112E-02  20   3
   1.376204032341E-04  20   4
   4.009154514044E-02  20   7
   8.668016120377E-04  21   1
   1.096647455112E-02  21   2
   6.602935446883E-02  21   3
   1.486748615182E-02  21   4
   1.539392195770E-01  21   7
  -3.884770432217E-08  22   1
  -1.376204032341E-04  22   2
  -1.486748615182E-02  22   3
  -3.811893362217E-04  22   4
   1.961930399807E-05  23   5
   1.961930399807E-05  24   6
  -4.900310982228E-02  22   7
   6.377130635558E-03  23   8
   6.377130635558E-03  24   9
  -3.910662906586E-03  25   1
  -4.009154514044E-02  25   2
  -1.539392195770E-01  25   3
  -4.900310982228E-02  25   4
   6.377130635558E-03  26   5
   6.377130635558E-03  27   6
  -2.928607712127E-01  25   7
   6.602935446883E-02  26   8
   6.602935446883E-02  27   9
   4.242344512361E-06  19  10
   2.354891710247E-02  19  11
   5.206372932764E-02  19  12
   4.809603297274E-02  19  13
   9.403823547942E-02  19  16
   9.716972636166E-03  20  10
   1.850617385762E-01  20  11
   2.974830555329E-01  20  12
   2.899850732128E-01  20  13
   4.657648512521E-01  20  16
   7.039323929593E-02  21  10
   3.879517372613E-01  21  11
   5.691363258520E-01  21  12
   3.428030953823E-01  21  13
   6.455108202137E-01  21  16
  -2.281217730758E-02  22  10
  -2.148152024455E-01  22  11
  -1.482584849380E-01  22  12
  -2.870508605333E-01  22  13
   9.772853314634E-02  23  14
   9.772853314634E-02  24  15
  -7.623890846281E-02  22  16
   1.608969438997E-01  23  17
   1.608969438997E-01  24  18
  -1.549314697223E-01  25  10
  -5.870557967027E-01  25  11
  -5.102617987133E-01  25  12
  -2.605658414993E-01  25  13
   2.940779764923E-01  26  14
   2.940779764923E-01  27  15
  -2.497607238904E-02  25  16
   5.537596316061E-01  26  17
   5.537596316061E-01  27  18
   1.000000000000E+00  19  19
   2.336899060592E-01  20  19
   1.000000000000E+00  20  20
   1.672797595959E-01  21  19
   7.636407733384E-01  21  20
   1.000000000000E+00  21  21
   1.000000000000E+00  22  22
   1.000000000000E+00  23  23
   1.000000000000E+00  24  24
   5.015206410748E-01  25  22
   5.015206410748E-01  26  23
   5.015206410748E-01  27  24
   1.000000000000E+00  25  25
   1.000000000000E+00  26  26
   1.000000000000E+00  27  27
     143    145      0      0      1      0      1      2
   0.000000000000E+00
   2.954013979782E+01   1   1
  -2.185402729909E+00   2   1
   1.711210960212E+00   2   2
   1.312824993202E-01   3   1
   4.800478207866E-01   3   2
   4.050087000000E-01   3   3
   4.251877061028E+00   4   4
   4.251877061028E+00   5   5
   4.251877061028E+00   6   6
   5.472432238225E-01   7   4
   5.472432238225E-01   8   5
   5.472432238225E-01   9   6
   6.750145000000E-01   7   7
   6.750145000000E-01   8   8
   6.750145000000E-01   9   9
  -1.578371647889E-04  10   1
  -4.144892773285E-02  10   2
   7.756104515591E-03  10   3
  -6.435911584047E-02  10   4
   9.604935846902E-02  10   7
  -2.503521856835E-02  11   1
  -1.268757811512E-02  11   2
   8.541854316539E-02  11   3
   1.291824159586E-01  11   4
   3.341699754851E-01  11   7
   1.149732585784E-02  12   1
   6.647872202403E-02  12   2
   1.155255007231E-01  12   3
   7.651086561650E-02  12   4
   2.095394870573E-01  12   7
   9.806532775101E-03  13   1
  -1.164844623667E-01  13   2
  -1.988308934656E-01  13   3
  -3.574959570324E-01  13   4
   3.167946742013E-02  14   5
   3.167946742013E-02  15   6
  -3.618514770052E-01  13   7
   1.705695998728E-01  14   8
   1.705695998728E-01  15   9
  -5.186882180917E-02  16   1
  -2.374503865908E-01  16   2
  -2.650796248095E-01  16   3
  -1.089614664636E-01  16   4
   8.303311920370E-02  17   5
   8.303311920370E-02  18   6
  -1.304407884267E-01  16   7
   2.274019130031E-01  17   8
   2.274019130031E-01  18   9
   1.620756317606E+01  10  10
  -1.247568550185E+00  11  10
   9.322455970841E-01  11  11
   8.995043185669E-02  12  10
   3.067182998116E-01  12  11
   2.530716000000E-01  12  12
   2.178332480867E+00  13  13
   2.178332480867E+00  14  14
   2.178332480867E+00  15  15
   3.766731073477E-01  16  13
   3.766731073477E-01  17  14
   3.766731073477E-01  18  15
   4.217860000000E-01  16  16
   4.217860000000E-01  17  17
   4.217860000000E-01  18  18
  -2.182106806765E-07  19   2
  -1.703132900919E-03  19   3
  -1.026795625298E-06  19   4
  -5.644615071704E-03  19   7
  -2.182106806765E-07  20   1
  -4.170973512704E-04  20   2
  -1.279376935879E-02  20   3
  -1.075589791960E-03  20   4
  -2.962745701289E-02  20   7
  -1.703132900919E-03  21   1
  -1.279376935879E-02  21   2
  -2.170874473312E-02  21   3
  -1.186834400083E-02  21   4
  -9.046753567825E-03  21   7
   1.026795625298E-06  22   1
   1.075589791960E-03  22   2
   1.186834400083E-02  22   3
   2.585559637030E-03  22   4
  -1.537259601536E-04  23   5
  -1.537259601536E-04  24   6
   1.549610695958E-02  22   7
  -5.090704598491E-03  23   8
  -5.090704598491E-03  24   9
   5.644615071704E-03  25   1
   2.962745701289E-02  25   2
   9.046753567825E-03  25   3
   1.549610695958E-02  25   4
  -5.090704598491E-03  26   5
  -5.090704598491E-03  27   6
  -7.969147189106E-02  25   7
  -3.880436056278E-03  26   8
  -3.880436056278E-03  27   9
  -1.578371647889E-04  19  10
  -2.503521856835E-02  19  11
   1.149732585784E-02  19  12
  -9.806532775101E-03  19  13
   5.186882180917E-02  19  16
  -4.144892773285E-02  20  10
  -1.268757811512E-02  20  11
   6.647872202403E-02  20  12
   1.164844623667E-01  20  13
   2.374503865908E-01  20  16
   7.756104515591E-03  21  10
   8.541854316539E-02  21  11
   1.155255007231E-01  21  12
   1.988308934656E-01  21  13
   2.650796248095E-01  21  16
   6.435911584047E-02  22  10
  -1.291824159586E-01  22  11
  -7.651086561650E-02  22  12
  -3.574959570324E-01  22  13
   3.167946742013E-02  23  14
   3.167946742013E-02  24  15
  -1.089614664636E-01  22  16
   8.303311920370E-02  23  17
   8.303311920370E-02  24  18
  -9.604935846902E-02  25  10
  -3.341699754851E-01  25  11
  -2.095394870573E-01  25  12
  -3.618514770052E-01  25  13
   1.705695998728E-01  26  14
   1.705695998728E-01  27  15
  -1.304407884267E-01  25  16
   2.274019130031E-01  26  17
   2.274019130031E-01  27  18
   2.954013979782E+01  19  19
  -2.185402729909E+00  20  19
   1.711210960212E+00  20  20
   1.312824993202E-01  21  19
   4.800478207866E-01  21  20
   4.050087000000E-01  21  21
   4.251877061028E+00  22  22
   4.251877061028E+00  23  23
   4.251877061028E+00  24  24
   5.472432238225E-01  25  22
   5.472432238225E-01  26  23
   5.472432238225E-01  27  24
   6.750145000000E-01  25  25
   6.750145000000E-01  26  26
   6.750145000000E-01  27  27
     155    157      0      0      2      0      1      2
   0.000000000000E+00
  -6.593883378463E+01   1   1
  -5.965547347216E+00   2   1
  -1.498879301621E+01   2   2
  -6.064073594255E+00   3   1
  -1.043335492256E+01   3   2
  -1.103840738718E+01   3   3
  -1.155791514798E-01   4   1
  -7.885127798926E-01   4   2
  -7.647268233846E-01   4   3
  -1.630823649016E+01   4   4
  -1.598650008007E+01   5   5
  -1.598650008007E+01   6   6
  -1.592659848565E-02   7   1
  -5.212026436717E-01   7   2
  -1.366040940570E+00   7   3
  -6.227139492846E+00   7   4
  -5.902434639941E+00   8   5
  -5.902434639941E+00   9   6
  -9.506450482187E+00   7   7
  -8.323289728656E+00   8   8
  -8.323289728656E+00   9   9
  -7.162987349740E-05  10   1
  -2.022287928270E-01  10   2
  -1.721915388512E+00  10   3
  -4.997866945185E-01  10   4
  -3.859278534525E+00  10   7
  -8.198664497006E-01  11   1
  -2.610477742769E+00  11   2
  -4.864746314237E+00  11   3
  -3.018629579742E+00  11   4
  -7.303963251274E+00  11   7
  -1.864712283101E+00  12   1
  -4.057075006487E+00  12   2
  -6.310497423161E+00  12   3
  -2.166700077608E+00  12   4
  -5.982777322713E+00  12   7
   1.709439063338E+00  13   1
   4.182930040704E+00  13   2
   4.452501550671E+00  13   3
   4.148234162453E+00  13   4
  -1.222088914148E+00  14   5
  -1.222088914148E+00  15   6
   3.331706743257E+00  13   7
  -3.132854018457E+00  14   8
  -3.132854018457E+00  15   9
   3.391643665016E+00  16   1
   6.321720494485E+00  16   2
   6.900364345683E+00  16   3
   1.398957800546E+00  16   4
  -1.869209066758E+00  17   5
  -1.869209066758E+00  18   6
   8.316590301314E-01  16   7
  -4.610648055590E+00  17   8
  -4.610648055590E+00  18   9
  -4.128495335616E+01  10  10
  -3.975243301096E+00  11  10
  -1.284496933905E+01  11  11
  -4.567073171209E+00  12  10
  -9.881972876042E+00  12  11
  -1.059892770383E+01  12  12
  -1.426200030224E+01  13  13
  -1.290726012490E+01  14  14
  -1.290726012490E+01  15  15
  -7.184581018334E+00  16  13
  -5.939238356756E+00  17  14
  -5.939238356756E+00  18  15
  -1.016382829468E+01  16  16
  -7.890380568529E+00  17  17
  -7.890380568529E+00  18  18
  -1.524584655273E-07  19   2
  -2.953665364493E-02  19   3
  -7.812828605634E-07  19   4
  -1.348925332088E-01  19   7
  -1.524584655273E-07  20   1
  -7.937343940230E-04  20   2
  -1.502689539885E-01  20   3
  -2.308056724688E-03  20   4
  -5.501435944770E-01  20   7
  -2.953665364493E-02  21   1
  -1.502689539885E-01  21   2
  -7.901493847732E-01  21   3
  -2.066767403476E-01  21   4
  -1.842134920442E+00  21   7
   7.812828605634E-07  22   1
   2.308056724688E-03  22   2
   2.066767403476E-01  22   3
   6.440462683926E-03  22   4
  -2.591902913732E-04  23   5
  -2.591902913732E-04  24   6
   6.796838212685E-01  22   7
  -7.460124829126E-02  23   8
  -7.460124829126E-02  24   9
   1.348925332088E-01  25   1
   5.501435944770E-01  25   2
   1.842134920442E+00  25   3
   6.796838212685E-01  25   4
  -7.460124829126E-02  26   5
  -7.460124829126E-02  27   6
   3.523320595733E+00  25   7
  -6.063551634523E-01  26   8
  -6.063551634523E-01  27   9
  -7.162987349740E-05  19  10
  -8.198664497006E-01  19  11
  -1.864712283101E+00  19  12
  -1.709439063338E+00  19  13
  -3.391643665016E+00  19  16
  -2.022287928270E-01  20  10
  -2.610477742769E+00  20  11
  -4.057075006487E+00  20  12
  -4.182930040704E+00  20  13
  -6.321720494485E+00  20  16
  -1.721915388512E+00  21  10
  -4.864746314237E+00  21  11
  -6.310497423161E+00  21  12
  -4.452501550671E+00  21  13
  -6.900364345683E+00  21  16
   4.997866945185E-01  22  10
   3.018629579742E+00  22  11
   2.166700077608E+00  22  12
   4.148234162453E+00  22  13
  -1.222088914148E+00  23  14
  -1.222088914148E+00  24  15
   1.398957800546E+00  22  16
  -1.869209066758E+00  23  17
  -1.869209066758E+00  24  18
   3.859278534525E+00  25  10
   7.303963251274E+00  25  11
   5.982777322713E+00  25  12
   3.331706743257E+00  25  13
  -3.132854018457E+00  26  14
