        2       1      19       6       1       2
 BH3                                                                             
 aoints SIFS file created by argos.      colosse2          16:37:21.494 14-Jan-18
       19
     a
        2    4096    3272    4096    2700       0
     1B__1s    2B__1s    3B__1s    4B__1s    5B__2p    6B__2p    7B__2p    8B__2p
     9B__2p   10B__2p   11B__2p   12B__2p   13B__2p   14H__1s   15H__1s   16H__1s
    17H__1s   18H__1s   19H__1s
       -1
   7.466102847527E+00
        3       4
    1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   3   3   4   4   1
    1   1   1   2   2   2   2   2   2   2   2   2   1   1   1   1   1   1
     103    105      0      0      0      0      1      2
   0.000000000000E+00
   1.000000000000E+00   1   1
   1.828405797815E-01   2   1
   1.000000000000E+00   2   2
   1.738517855911E-01   3   1
   7.753068685784E-01   3   2
   1.000000000000E+00   3   3
   6.414947632557E-02   4   1
   3.670082613840E-01   4   2
   7.198406606326E-01   4   3
   1.000000000000E+00   4   4
   1.000000000000E+00   5   5
   1.000000000000E+00   6   6
   1.000000000000E+00   7   7
   5.512715679286E-01   8   5
   5.512715679286E-01   9   6
   5.512715679286E-01  10   7
   1.000000000000E+00   8   8
   1.000000000000E+00   9   9
   1.000000000000E+00  10  10
   1.497358276453E-01  11   5
   1.497358276453E-01  12   6
   1.497358276453E-01  13   7
   5.781767505631E-01  11   8
   5.781767505631E-01  12   9
   5.781767505631E-01  13  10
   1.000000000000E+00  11  11
   1.000000000000E+00  12  12
   1.000000000000E+00  13  13
   1.631360233687E-02  14   1
   2.246853756292E-01  14   2
   3.051478282250E-01  14   3
   1.873313704311E-01  14   4
   3.563183784415E-01  14   7
   4.214113395767E-01  14  10
   1.437326196603E-01  14  13
   9.435263325162E-02  15   1
   4.698633638415E-01  15   2
   6.703400911033E-01  15   3
   5.201243531527E-01  15   4
   3.494193605320E-01  15   7
   6.310999756959E-01  15  10
   3.530518288089E-01  15  13
   1.000000000000E+00  14  14
   6.458989404992E-01  15  14
   1.000000000000E+00  15  15
   1.631366267502E-02  16   1
   2.246857198980E-01  16   2
   3.051480069383E-01  16   3
   1.873314011126E-01  16   4
   3.085811607118E-01  16   5
  -1.781593433549E-01  16   7
   3.649529808423E-01  16   8
  -2.107056155739E-01  16  10
   1.244760662874E-01  16  11
  -7.186626099278E-02  16  13
   9.435272252482E-02  17   1
   4.698636844772E-01  17   2
   6.703403587421E-01  17   3
   5.201244285160E-01  17   4
   3.026061290975E-01  17   5
  -1.747096586546E-01  17   7
   5.465485920460E-01  17   8
  -3.155498477155E-01  17  10
   3.057517640689E-01  17  11
  -1.765257911095E-01  17  13
   1.644778727305E-03  16  14
   6.634039861453E-02  16  15
   6.634039861453E-02  17  14
   2.515552721486E-01  17  15
   1.000000000000E+00  16  16
   6.458989404992E-01  17  16
   1.000000000000E+00  17  17
   1.631366267502E-02  18   1
   2.246857198980E-01  18   2
   3.051480069383E-01  18   3
   1.873314011126E-01  18   4
  -3.085811607118E-01  18   5
  -1.781593433549E-01  18   7
  -3.649529808423E-01  18   8
  -2.107056155739E-01  18  10
  -1.244760662874E-01  18  11
  -7.186626099278E-02  18  13
   9.435272252482E-02  19   1
   4.698636844772E-01  19   2
   6.703403587421E-01  19   3
   5.201244285160E-01  19   4
  -3.026061290975E-01  19   5
  -1.747096586546E-01  19   7
  -5.465485920460E-01  19   8
  -3.155498477155E-01  19  10
  -3.057517640689E-01  19  11
  -1.765257911095E-01  19  13
   1.644778727305E-03  18  14
   6.634039861453E-02  18  15
   6.634039861453E-02  19  14
   2.515552721486E-01  19  15
   1.644781080651E-03  18  16
   6.634043329121E-02  18  17
   6.634043329121E-02  19  16
   2.515553519982E-01  19  17
   1.000000000000E+00  18  18
   6.458989404992E-01  19  18
   1.000000000000E+00  19  19
     103    105      0      0      1      0      1      2
   0.000000000000E+00
   1.121888323283E+01   1   1
  -8.476091004229E-01   2   1
   8.030615127888E-01   2   2
   6.297549450894E-02   3   1
   2.217475261356E-01   3   2
   1.864920000000E-01   3   3
   6.016641678449E-03   4   1
   3.228940225367E-02   4   2
   5.427397542425E-02   4   3
   4.725000000000E-02   4   4
   1.555987993072E+00   5   5
   1.555987993072E+00   6   6
   1.555987993072E+00   7   7
   2.734099703802E-01   8   5
   2.734099703802E-01   9   6
   2.734099703802E-01  10   7
   3.108200000000E-01   8   8
   3.108200000000E-01   9   9
   3.108200000000E-01  10  10
   2.213480312097E-02  11   5
   2.213480312097E-02  12   6
   2.213480312097E-02  13   7
   7.265485374536E-02  11   8
   7.265485374536E-02  12   9
