        2       1      27       5       1       2
 CO2_6-31G                                                                       
 aoints SIFS file created by argos.      colosse1          12:04:00.930 23-Jun-14
       27
     a
        2    4096    3272    4096    2700
     1C__1s    2C__1s    3C__1s    4C__2p    5C__2p    6C__2p    7C__2p    8C__2p
     9C__2p   10O__1s   11O__1s   12O__1s   13O__2p   14O__2p   15O__2p   16O__2p
    17O__2p   18O__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   5.839196768851E+01
        3       4
    1   1   1   1   1   1   1   1   1   2   2   2   2   2   2   2   2   2   3   3
    3   3   3   3   3   3   3   1   1   1   2   2   2   2   2   2   1   1   1   2
    2   2   2   2   2   1   1   1   2   2   2   2   2   2
     143    145      0      0      0      0      1      2
   0.000000000000E+00
   1.000000000000E+00   1   1
   2.190588715645E-01   2   1
   1.000000000000E+00   2   2
   1.842610531091E-01   3   1
   8.122730676220E-01   3   2
   1.000000000000E+00   3   3
   1.000000000000E+00   4   4
   1.000000000000E+00   5   5
   1.000000000000E+00   6   6
   5.697540584657E-01   7   4
   5.697540584657E-01   8   5
   5.697540584657E-01   9   6
   1.000000000000E+00   7   7
   1.000000000000E+00   8   8
   1.000000000000E+00   9   9
   6.799897884684E-06  10   1
   2.643501833456E-02  10   2
   5.405837156198E-02  10   3
  -5.290061385097E-02  10   6
  -9.541024219375E-02  10   9
   1.169262730300E-02  11   1
   1.996626623463E-01  11   2
   3.073373162049E-01  11   3
  -3.084532787784E-01  11   6
  -4.701793316996E-01  11   9
   7.459350396118E-02  12   1
   4.037183767683E-01  12   2
   5.827322987052E-01  12   3
  -3.495525580461E-01  12   6
  -6.458289119138E-01  12   9
   2.689754940507E-02  15   1
   2.269639770647E-01  15   2
   1.497751736094E-01  15   3
   1.068443261629E-01  13   4
   1.068443261629E-01  14   5
  -2.970246855311E-01  15   6
   1.663439065013E-01  13   7
   1.663439065013E-01  14   8
  -6.775358561252E-02  15   9
   1.604322876680E-01  18   1
   5.966786938270E-01  18   2
   5.105132430546E-01  18   3
   3.068803484900E-01  16   4
   3.068803484900E-01  17   5
  -2.459941726356E-01  18   6
   5.669882739832E-01  16   7
   5.669882739832E-01  17   8
   1.198093806012E-03  18   9
   1.000000000000E+00  10  10
   2.336899060592E-01  11  10
   1.000000000000E+00  11  11
   1.672797595959E-01  12  10
   7.636407733384E-01  12  11
   1.000000000000E+00  12  12
   1.000000000000E+00  13  13
   1.000000000000E+00  14  14
   1.000000000000E+00  15  15
   5.015206410748E-01  16  13
   5.015206410748E-01  17  14
   5.015206410748E-01  18  15
   1.000000000000E+00  16  16
   1.000000000000E+00  17  17
   1.000000000000E+00  18  18
   6.799897884684E-06  19   1
   2.643501833456E-02  19   2
   5.405837156198E-02  19   3
   5.290061385097E-02  19   6
   9.541024219375E-02  19   9
   1.169262730300E-02  20   1
   1.996626623463E-01  20   2
   3.073373162049E-01  20   3
   3.084532787784E-01  20   6
   4.701793316996E-01  20   9
   7.459350396118E-02  21   1
   4.037183767683E-01  21   2
   5.827322987052E-01  21   3
   3.495525580461E-01  21   6
   6.458289119138E-01  21   9
  -2.689754940507E-02  24   1
  -2.269639770647E-01  24   2
  -1.497751736094E-01  24   3
   1.068443261629E-01  22   4
   1.068443261629E-01  23   5
  -2.970246855311E-01  24   6
   1.663439065013E-01  22   7
   1.663439065013E-01  23   8
  -6.775358561252E-02  24   9
  -1.604322876680E-01  27   1
  -5.966786938270E-01  27   2
  -5.105132430546E-01  27   3
   3.068803484900E-01  25   4
   3.068803484900E-01  26   5
  -2.459941726356E-01  27   6
   5.669882739832E-01  25   7
   5.669882739832E-01  26   8
   1.198093806012E-03  27   9
   1.718200571938E-08  19  11
   1.099284094631E-03  19  12
   8.409239728455E-08  19  15
   4.846492246226E-03  19  18
   1.718200571938E-08  20  10
   7.501925862931E-05  20  11
   1.329442642678E-02  20  12
   2.132570081416E-04  20  15
   4.747809636840E-02  20  18
   1.099284094631E-03  21  10
   1.329442642678E-02  21  11
   7.465504424506E-02  21  12
   1.767704176945E-02  21  15
   1.700718981539E-01  21  18
  -8.409239728455E-08  24  10
  -2.132570081416E-04  24  11
  -1.767704176945E-02  24  12
   3.112660384311E-05  22  13
   3.112660384311E-05  23  14
  -5.762315921324E-04  24  15
   7.759543756170E-03  22  16
   7.759543756170E-03  23  17
  -5.660611236120E-02  24  18
  -4.846492246226E-03  27  10
  -4.747809636840E-02  27  11
  -1.700718981539E-01  27  12
   7.759543756170E-03  25  13
   7.759543756170E-03  26  14
  -5.660611236120E-02  27  15
   7.465504424506E-02  25  16
   7.465504424506E-02  26  17
  -3.127862979195E-01  27  18
   1.000000000000E+00  19  19
   2.336899060592E-01  20  19
   1.000000000000E+00  20  20
   1.672797595959E-01  21  19
   7.636407733384E-01  21  20
   1.000000000000E+00  21  21
   1.000000000000E+00  22  22
   1.000000000000E+00  23  23
   1.000000000000E+00  24  24
   5.015206410748E-01  25  22
   5.015206410748E-01  26  23
   5.015206410748E-01  27  24
   1.000000000000E+00  25  25
   1.000000000000E+00  26  26
   1.000000000000E+00  27  27
     143    145      0      0      1      0      1      2
   0.000000000000E+00
   1.620756317606E+01   1   1
  -1.247568550185E+00   2   1
   9.322455970841E-01   2   2
   8.995043185669E-02   3   1
   3.067182998116E-01   3   2
   2.530716000000E-01   3   3
   2.178332480867E+00   4   4
   2.178332480867E+00   5   5
   2.178332480867E+00   6   6
   3.766731073477E-01   7   4
   3.766731073477E-01   8   5
   3.766731073477E-01   9   6
   4.217860000000E-01   7   7
   4.217860000000E-01   8   8
   4.217860000000E-01   9   9
  -2.408685834489E-04  10   1
  -2.482737853224E-02  10   2
   1.260999663856E-02  10   3
   5.714809482406E-03  10   6
  -5.381232784486E-02  10   9
  -4.646634368899E-02  11   1
  -2.299338270088E-03  11   2
   7.154853463336E-02  11   3
  -1.423588736087E-01  11   6
  -2.440702438333E-01  11   9
   1.042285302625E-02  12   1
   9.449906730990E-02  12   2
   1.211421585861E-01  12   3
  -2.084089292219E-01  12   6
  -2.683764804781E-01  12   9
  -6.832725031481E-02  15   1
   1.507518006616E-01  15   2
   7.875759173411E-02  15   3
   4.121400921963E-02  13   4
   4.121400921963E-02  14   5
  -3.948355396719E-01  15   6
   8.747007371094E-02  13   7
   8.747007371094E-02  14   8
  -1.043621228691E-01  15   9
   1.042115968855E-01  18   1
   3.475892190933E-01  18   2
   2.121455773828E-01  18   3
   1.829670627660E-01  16   4
   1.829670627660E-01  17   5
  -3.570242103639E-01  18   6
   2.356139755234E-01  16   7
   2.356139755234E-01  17   8
  -1.169981098887E-01  18   9
   2.954013979782E+01  10  10
  -2.185402729909E+00  11  10
   1.711210960212E+00  11  11
   1.312824993202E-01  12  10
   4.800478207866E-01  12  11
   4.050087000000E-01  12  12
   4.251877061028E+00  13  13
   4.251877061028E+00  14  14
   4.251877061028E+00  15  15
   5.472432238225E-01  16  13
   5.472432238225E-01  17  14
   5.472432238225E-01  18  15
   6.750145000000E-01  16  16
   6.750145000000E-01  17  17
   6.750145000000E-01  18  18
  -2.408685834489E-04  19   1
  -2.482737853224E-02  19   2
   1.260999663856E-02  19   3
  -5.714809482406E-03  19   6
   5.381232784486E-02  19   9
  -4.646634368899E-02  20   1
  -2.299338270088E-03  20   2
   7.154853463336E-02  20   3
   1.423588736087E-01  20   6
   2.440702438333E-01  20   9
   1.042285302625E-02  21   1
   9.449906730990E-02  21   2
   1.211421585861E-01  21   3
   2.084089292219E-01  21   6
   2.683764804781E-01  21   9
   6.832725031481E-02  24   1
  -1.507518006616E-01  24   2
  -7.875759173411E-02  24   3
   4.121400921963E-02  22   4
   4.121400921963E-02  23   5
  -3.948355396719E-01  24   6
   8.747007371094E-02  22   7
   8.747007371094E-02  23   8
  -1.043621228691E-01  24   9
  -1.042115968855E-01  27   1
  -3.475892190933E-01  27   2
  -2.121455773828E-01  27   3
   1.829670627660E-01  25   4
   1.829670627660E-01  26   5
  -3.570242103639E-01  27   6
   2.356139755234E-01  25   7
   2.356139755234E-01  26   8
  -1.169981098887E-01  27   9
  -4.600607328183E-07  19  11
  -2.023711965590E-03  19  12
  -2.110741312830E-06  19  15
  -6.394406678162E-03  19  18
  -4.600607328183E-07  20  10
  -6.260106293443E-04  20  11
  -1.441549231731E-02  20  12
  -1.567360904335E-03  20  15
  -3.118876380357E-02  20  18
  -2.023711965590E-03  21  10
  -1.441549231731E-02  21  11
  -2.206976235398E-02  21  12
  -1.263111592107E-02  21  15
  -4.356798199237E-03  21  18
   2.110741312830E-06  24  10
   1.567360904335E-03  24  11
   1.263111592107E-02  24  12
  -2.295288428355E-04  22  13
  -2.295288428355E-04  23  14
   3.642866838114E-03  24  15
  -5.544575724666E-03  22  16
  -5.544575724666E-03  23  17
   1.296909124586E-02  24  18
   6.394406678162E-03  27  10
   3.118876380357E-02  27  11
   4.356798199237E-03  27  12
  -5.544575724666E-03  25  13
  -5.544575724666E-03  26  14
   1.296909124586E-02  27  15
  -1.912467408558E-03  25  16
  -1.912467408558E-03  26  17
  -9.659864086042E-02  27  18
   2.954013979782E+01  19  19
  -2.185402729909E+00  20  19
   1.711210960212E+00  20  20
   1.312824993202E-01  21  19
   4.800478207866E-01  21  20
   4.050087000000E-01  21  21
   4.251877061028E+00  22  22
   4.251877061028E+00  23  23
   4.251877061028E+00  24  24
   5.472432238225E-01  25  22
   5.472432238225E-01  26  23
   5.472432238225E-01  27  24
   6.750145000000E-01  25  25
   6.750145000000E-01  26  26
   6.750145000000E-01  27  27
     155    157      0      0      2      0      1      2
   0.000000000000E+00
  -4.145173646077E+01   1   1
  -4.011778617270E+00   2   1
  -1.300881899452E+01   2   2
  -4.597804795267E+00   3   1
  -1.000675085376E+01   3   2
  -1.070815407746E+01   3   3
  -1.304051216443E+01   4   4
  -1.304051216443E+01   5   5
  -1.447983842475E+01   6   6
  -5.998961974974E+00   7   4
  -5.998961974974E+00   8   5
  -7.295628615825E+00   9   6
  -7.946991883831E+00   7   7
  -7.946991883831E+00   8   8
  -1.022523206203E+01   9   9
  -1.179902077590E-04  10   1
  -9.261156100409E-01  10   2
  -1.942479218376E+00  10   3
   1.890483009248E+00  10   6
   3.451996604183E+00  10   9
  -2.480776557617E-01  11   1
  -2.857345152753E+00  11   2
  -4.231178104921E+00  11   3
   4.511951356664E+00  11   6
   6.428166188896E+00  11   9
  -1.839182014743E+00  12   1
  -5.131744847159E+00  12   2
  -6.525842236635E+00  12   3
   4.609556071047E+00  12   6
   6.946401572210E+00  12   9
  -6.004547903030E-01  15   1
  -3.244454135004E+00  15   2
  -2.233641711442E+00  15   3
  -1.354279813224E+00  13   4
  -1.354279813224E+00  14   5
   4.372233320055E+00  15   6
  -1.949022113987E+00  13   7
  -1.949022113987E+00  14   8
   1.324836966267E+00  15   9
  -4.027383302909E+00  18   1
  -7.520034456952E+00  18   2
  -6.078940784846E+00  18   3
  -3.305715833473E+00  16   4
  -3.305715833473E+00  17   5
   3.199062037759E+00  18   6
  -4.757336026270E+00  16   7
  -4.757336026270E+00  17   8
   5.927220314687E-01  18   9
  -6.604307322501E+01  10  10
  -5.989907052246E+00  11  10
  -1.509301838292E+01  11  11
  -6.081510742783E+00  12  10
  -1.051266831043E+01  12  11
  -1.113323327423E+01  12  12
  -1.210478713121E-01  15  10
  -8.257825239030E-01  15  11
  -8.001234040110E-01  15  12
  -1.608303397002E+01  13  13
  -1.608303397002E+01  14  14
  -1.642775901877E+01  15  15
  -1.668017820902E-02  18  10
  -5.452321076893E-01  18  11
  -1.411604203793E+00  18  12
  -5.946809974860E+00  16  13
  -5.946809974860E+00  17  14
  -6.292997252913E+00  18  15
  -8.390297957577E+00  16  16
  -8.390297957577E+00  17  17
  -9.613917458582E+00  18  18
  -1.179902077590E-04  19   1
  -9.261156100409E-01  19   2
  -1.942479218376E+00  19   3
  -1.890483009248E+00  19   6
  -3.451996604183E+00  19   9
  -2.480776557617E-01  20   1
  -2.857345152753E+00  20   2
  -4.231178104921E+00  20   3
  -4.511951356664E+00  20   6
  -6.428166188896E+00  20   9
  -1.839182014743E+00  21   1
  -5.131744847159E+00  21   2
  -6.525842236635E+00  21   3
  -4.609556071047E+00  21   6
  -6.946401572210E+00  21   9
   6.004547903030E-01  24   1
   3.244454135004E+00  24   2
   2.233641711442E+00  24   3
  -1.354279813224E+00  22   4
  -1.354279813224E+00  23   5
   4.372233320055E+00  24   6
  -1.949022113987E+00  22   7
  -1.949022113987E+00  23   8
   1.324836966267E+00  24   9
   4.027383302909E+00  27   1
   7.520034456952E+00  27   2
   6.078940784846E+00  27   3
  -3.305715833473E+00  25   4
  -3.305715833473E+00  26   5
   3.199062037759E+00  27   6
  -4.757336026270E+00  25   7
  -4.757336026270E+00  26   8
   5.927220314687E-01  27   9
  -3.471505146317E-07  19  11
  -3.769559172311E-02  19  12
  -1.741556173747E-06  19  15
  -1.682154074481E-01  19  18
  -3.471505146317E-07  20  10
  -1.270843023177E-03  20  11
  -1.850264369742E-01  20  12
  -3.612065118729E-03  20  15
  -6.612677470149E-01  20  18
  -3.769559172311E-02  21  10
  -1.850264369742E-01  21  11
  -9.039478254763E-01  21  12
  -2.502498209574E-01  21  15
  -2.059286469728E+00  21  18
   1.741556173747E-06  24  10
   3.612065118729E-03  24  11
   2.502498209574E-01  24  12
  -4.156461948033E-04  22  13
  -4.156461948033E-04  23  14
   9.833384003487E-03  24  15
  -9.193142954086E-02  22  16
  -9.193142954086E-02  23  17
   7.995735306257E-01  24  18
   1.682154074481E-01  27  10
   6.612677470149E-01  27  11
   2.059286469728E+00  27  12
  -9.193142954086E-02  25  13
  -9.193142954086E-02  26  14
